CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,244",66,976,15.78,734.55,158.05,65,739.25,747.50,195,"23,650.00","2,990",16.10,16.30,"1,300",-22.95,16.25,19.96,"3,26,224","14,987","27,138",
,"4,821",-676,"8,013",18.68,695.00,163.45,780,691.15,698.30,"1,560","23,700.00",715,19.00,19.05,845,-26.65,19.00,19.62,"7,49,681",-756,"51,675",
,"1,744",-139,"2,960",16.72,642.00,154.20,65,643.35,652.80,520,"23,750.00","1,560",21.90,22.20,910,-31.45,22.00,19.23,"4,24,109","-4,021","19,777",
,"10,214",-891,"27,369",17.91,600.85,152.65,520,600.05,603.65,260,"23,800.00",390,25.70,25.85,"1,430",-36.90,25.85,18.92,"11,79,872","17,343","75,913",
,"4,033",-240,"7,040",16.88,551.45,142.10,715,552.25,559.70,520,"23,850.00",390,30.00,30.15,"2,600",-43.25,30.00,18.53,"4,35,838","7,878","24,241",
,"9,157","-2,125","43,299",16.88,507.50,137.30,195,510.05,512.25,910,"23,900.00",260,34.75,35.00,"2,275",-49.60,35.00,18.17,"10,07,329","22,382","58,020",
,"2,322",-410,"26,334",17.30,467.40,132.50,195,466.35,469.05,195,"23,950.00",65,41.10,41.20,390,-57.00,41.40,17.90,"6,05,544","8,776","23,102",
,"24,347","-7,030","3,69,387",17.07,424.85,125.35,195,423.15,424.80,780,"24,000.00",260,48.10,48.30,195,-65.25,48.25,17.54,"22,68,672","53,301","1,17,415",
,"3,155","-1,719","1,37,771",16.81,383.35,115.95,260,382.30,383.95,455,"24,050.00",260,56.30,56.65,195,-74.40,56.40,17.20,"7,64,832","9,942","20,841",
,"14,469","-8,300","7,29,282",16.45,342.45,106.95,195,342.55,343.95,260,"24,100.00",780,66.05,66.40,195,-83.70,66.10,16.89,"17,93,409","20,463","55,874",
,"7,235","-9,624","8,58,780",16.03,302.55,96.05,455,303.60,304.80,455,"24,150.00",520,77.65,77.90,325,-93.45,77.90,16.65,"13,05,412","13,665","36,726",
,"50,273","-43,798","32,88,640",15.89,266.85,86.95,195,266.85,267.95,195,"24,200.00",130,90.80,90.95,455,-101.90,91.30,16.38,"32,94,515","30,787","96,788",
,"17,758","-17,123","24,67,702",15.64,232.15,76.15,195,232.00,232.95,455,"24,250.00",390,106.05,106.40,195,-110.65,107.05,16.16,"19,97,026","25,862","41,615",
,"61,002","-28,630","41,47,060",15.38,199.50,66.35,195,199.50,200.00,130,"24,300.00","1,170",123.00,123.50,195,-121.45,123.45,15.79,"28,20,995","39,214","67,975",
,"40,060","-2,818","20,99,185",15.20,170.10,56.50,65,170.10,170.70,585,"24,350.00",585,142.90,143.65,195,-133.30,142.90,15.50,"8,56,741","23,306","28,948",
,"57,210","-35,664","27,31,417",15.06,143.55,47.80,195,142.90,143.55,195,"24,400.00",130,165.90,166.20,195,-141.05,166.05,15.33,"7,84,266","10,779","25,316",
,"24,240",461,"13,87,521",14.84,118.90,39.50,195,118.85,119.35,260,"24,450.00",65,191.05,191.80,195,-149.50,191.80,15.17,"1,49,394","6,684","8,300",
,"99,697","-5,811","30,39,667",14.64,97.00,31.70,780,97.00,97.50,845,"24,500.00",65,219.75,220.25,520,-154.55,221.30,15.12,"3,82,363","9,686","24,421",
,"25,499",270,"10,20,218",14.51,78.50,25.30,195,78.55,78.95,390,"24,550.00",65,251.20,251.75,260,-162.75,252.35,14.98,"38,544",851,"2,200",
